[2018/08/24 10:44:42] [10:44:42]>status=-8
[2018/08/24 10:44:43] [10:44:43]>status=-8
[2018/08/24 10:44:43] [10:44:43]>status=-8
[2018/08/24 10:44:45] [10:44:45]>status=-8
[2018/08/24 10:44:47] [10:44:47]>status=-8
[2018/08/24 10:44:49] [10:44:49]>status=-8
[2018/08/24 10:44:50] [10:44:50]>status=-8
[2018/08/24 10:45:02] [10:45:02]>status=-8
[2018/08/24 10:45:16] [10:45:16]>status=-10057
[2018/08/24 10:45:35] [10:45:35]>status=-8
[2018/09/10 16:39:29] [16:39:29]>status=-10057
[2018/09/18 14:21:47] [14:21:47]>status=-10038
[2018/09/18 14:22:09] [14:22:09]>status=-9
[2018/09/18 14:22:09] [14:22:09]>status=-10038
[2018/09/18 14:22:09] [14:22:09]>status=-8
[2018/09/18 14:22:09] [14:22:09]>status=-10038
[2018/09/18 14:22:10] [14:22:10]>status=-8
[2018/09/18 14:22:10] [14:22:10]>status=-10038
[2018/09/18 14:22:10] [14:22:10]>status=-8
[2018/09/18 14:22:11] [14:22:11]>status=-10038
[2018/09/18 14:22:11] [14:22:11]>status=-8
[2018/09/18 14:22:11] [14:22:11]>status=-10038
[2018/09/18 14:22:12] [14:22:12]>status=-8
[2018/09/18 14:22:12] [14:22:12]>status=-10038
[2018/09/18 14:22:12] [14:22:12]>status=-8
[2018/09/18 14:22:12] [14:22:12]>status=-8
[2018/09/18 14:22:12] [14:22:12]>status=-10038
[2018/09/18 14:22:13] [14:22:13]>status=-10038
[2018/09/18 14:22:13] [14:22:13]>status=-8
[2018/09/18 14:22:13] [14:22:13]>status=-10038
[2018/09/18 14:22:16] [14:22:16]>status=-8
[2018/09/18 14:22:17] [14:22:17]>status=-10038
[2018/09/18 14:22:19] [14:22:19]>status=-8
[2018/09/18 14:22:20] [14:22:20]>status=-10038
[2018/09/18 14:22:22] [14:22:21]>status=-8
[2018/09/18 14:22:26] [14:22:26]>status=-10038
[2018/09/18 14:22:28] [14:22:28]>status=-8
[2018/09/18 14:22:28] [14:22:28]>status=-10038
[2018/09/18 14:22:29] [14:22:29]>status=-8
[2018/09/18 14:22:31] [14:22:31]>status=-10038
[2018/09/18 14:22:33] [14:22:33]>status=-8
[2018/09/18 14:22:34] [14:22:34]>status=-10038
